Track URI,song_name,cover_artist_id,cover_artist_name,cover_release_year,cover_song_popularity,control_artists_name,cover_artists_popularity,cover_artists_followers,original_song_artist ,original_release_year,original_song_popularity,control_song_name
spotify:track:5USZyz6dnBEn1oLsKcAKQy,Hallelujah,2PfBzriIMRsCXPDtSy9vg8,Rufus Wainwright,2001,58,Rufus Wainwright,60,273543,Leonard Cohen,1984,68,Hallelujah
spotify:track:4hTg9q0AnxtH4yZKeRcMin,Hallelujah,74eX4C98E4FCrAMl39qRsJ,Theory of a Deadman,2016,60,Theory of a Deadman,69,1696890,Leonard Cohen,1984,68,Hallelujah
spotify:track:550rQQCGkrTzvp4SfpOPzx,Hallelujah,26AHtbjWKiwYzsoGoUZq53,Pentatonix,2016,81,Pentatonix,86,3197586,Leonard Cohen,1984,68,Hallelujah
spotify:track:5SKPeMlQY0GBSRt100DBOP,I Just Called to Say I Love You,6TZLwu0dAvkmzZfzoA2ZEE,Metal Saxo Band,2014,42,Metal Saxo Band,37,1900,Stevie Wonder,1984,77,I Just Called to Say I Love You
spotify:track:2lzNkjAJAXVypkjFDtfnTM,I Just Called to Say I Love You,7usp1QUBA1licGDobwDWwi,Bill Jones,2019,19,Bill Jones,23,19,Stevie Wonder,1984,77,I Just Called to Say I Love You
spotify:track:2xuOysdpeyNUzy3R45hnt9,I Just Called to Say I Love You,0AcEt9ujUBWQ50cZsaskWo,Shinehead,2021,0,Shinehead,40,6267,Stevie Wonder,1984,77,I Just Called to Say I Love You
spotify:track:0djgnjcxNgPEYQxBYRujWD,I Just Called to Say I Love You,0xZIiBWQDXYyUxzbgkW8LK,Detroit Soul Sensation,2019,0,Detroit Soul Sensation,23,721,Stevie Wonder,1984,77,I Just Called to Say I Love You
spotify:track:46eHxWRKmtYhUHPDRgclt6,Careless Whisper,6B5c4sch27tWHAGdarpPaW,Seether,2007,68,Seether,73,2694261,George Michael,1984,85,Careless Whisper
spotify:track:7ki0dDQbDiRUjScocfUqMK,Careless Whisper,02uYdhMhCgdB49hZlYRm9o,Eagles Of Death Metal,2019,47,Eagles Of Death Metal,58,470217,George Michael,1984,85,Careless Whisper
spotify:track:1sU080w4VAR3qH1udHGA6D,Careless Whisper,747B3lhFN6MsexRBAdYC9s,Get Well Soon,2014,36,Get Well Soon,41,35977,George Michael,1984,85,Careless Whisper
spotify:track:1vf0m8FrWV2f8CiU72mysM,Against All Odds (Take A Look At Me Now),4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,1999,53,Mariah Carey,90,7345595,Phil Collins,1984,77,Against All Odds (Take A Look At Me Now)
spotify:track:30s3cW1xHDYjsN6giTJ8F0,Against All Odds (Take a Look At Me Now) ,5yV1qdnmxyIYiSFB02wpDj,The Postal Service,2003,43,The Postal Service,57,490596,Phil Collins,1984,77,Against All Odds (Take a Look At Me Now) 
spotify:track:3HszEQiMdPTNcglWcnMGk3,I Want to Know What Love Is,4cJKxS7uOPhwb5UQ70sYpN,Amason,2016,48,Amason,53,51746,Foreigner,1984,80,I Want to Know What Love Is
spotify:track:4ttCCNTaRSKmgFYOmNQzsO,I Want To Know What Love Is,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,2009,60,Mariah Carey,90,7345595,Foreigner,1984,80,I Want To Know What Love Is
spotify:track:71dvxqSL0JT3J4Uv2WdPJx,I'm On Fire,4njdEjTnLfcGImKZu1iSrz,AWOLNATION,2015,57,AWOLNATION,68,2024263,Bruce Springsteen,1984,76,I'm On Fire
spotify:track:04sx4DemzEp9Dzopqge2QX,I'm On Fire,4tOVIRjlWWfR1RrAxyRqTE,Chromatics,2006,56,Chromatics,60,362827,Bruce Springsteen,1984,76,I'm On Fire
spotify:track:3q0wgJXeUkhq2jeZ9JS7KN,I'm on Fire,2bGK38Qvf603fcckzUYYui,Whitey Morgan and the 78's,2008,57,Whitey Morgan and the 78's,53,97045,Bruce Springsteen,1984,76,I'm on Fire
spotify:track:2xMJZkpIR1zH7X1HbETA2v,Purple Rain,3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,2019,35,Bruce Springsteen,81,4552064,Prince,1984,77,Purple Rain
spotify:track:3IguAGpvvLGO0k5j79pWMJ,Purple Rain,3tFvFDca4inwWMY5vupFbX,The Cooltrane Quartet,2017,39,The Cooltrane Quartet,59,34857,Prince,1984,77,Purple Rain
spotify:track:68rtmLmaGYkZVFrpgzE2Gh,Purple Rain,5TnuP42pw475UrjjeabtwZ,The Waterboys,2020,13,The Waterboys,60,203937,Prince,1984,77,Purple Rain
spotify:track:0of8eVpenjKxV7NqDEUkS4,Drive,3886aFez2HDLkio5tUzmP6,Sixx:A.M.,2014,31,Sixx:A.M.,58,341600,The Cars,1984,70,Drive
spotify:track:0Vx0GSFj4HBFqbTyXWgPhW,Drive ,27T030eWyCQRmDyuvr1kxY,Scorpions,2001,33,Scorpions,76,5196685,The Cars,1984,70,Drive 
spotify:track:5y1QAwcpZ6cDSAQDYgw9dX,Like a Virgin,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,2019,42,Mötley Crüe,74,3668060,Madonna,1984,74,Like a Virgin
spotify:track:7Ld3bLaHYw605EnhnPMnRH,Like a Virgin,74IIqlVQQmvf04EHOI6yKh,Richard Cheese,2006,25,Richard Cheese,52,211231,Madonna,1984,74,Like a Virgin
